item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q1022401,The Super,1991 American comedy film directed by Rod Daniel,Il padrone di casa,film del 1991 diretto da Rod Daniel,Films,entity
Q102244,Harry Potter and the Chamber of Secrets,2002 film directed by Chris Columbus,Harry Potter e la camera dei segreti,film del 2002 diretto da Chris Columbus,Films,entity
Q102245056,Last Harem,1981 film directed by Sergio Garrone,L'ultimo harem,film del 1981 diretto da Sergio Garrone,Films,entity
Q102315818,The Royal Game,2021 film directed by Philipp Stölzl,Il re degli scacchi,film del 2021 diretto da Philipp Stölzl,Films,entity
Q102345779,An Uncertain Border,2019 film by Isabella Sandri,Un confine incerto,film del 2019 diretto da Isabella Sandri,Films,entity
Q102350774,Uscio e bottega,2014 film by Marco Daffra,Uscio e bottega,film del 2014 diretto da Marco Daffra,Films,entity
Q102395353,Midnight at the Magnolia,2020 film directed by Max McGuire,Mezzanotte al Magnolia,film del 2020 diretto da Max McGuire,Films,entity
Q102410713,Gaza mon amour,2020 film by Tarzan Nasser und Arab Nasser,Gaza mon amour,film del 2020 diretto da Tarzan e Arab Nasser,Films,entity
Q102411430,The Beast,2020 film directed by Ludovico Di Martino,La belva,film del 2020 diretto da Ludovico Di Martino,Films,entity
Q102417547,An Evening with Il Divo: Live in Barcelona,2009 video album by Il Divo,An Evening with Il Divo - Live in Barcelona,album video de Il Divo del 2009,Films,entity
Q102438,Harry Potter and the Philosopher's Stone,2001 film directed by Chris Columbus,Harry Potter e la pietra filosofale,film del 2001 diretto da Chris Columbus,Films,entity
Q102448,Harry Potter and the Prisoner of Azkaban,2004 film directed by Alfonso Cuarón,Harry Potter e il prigioniero di Azkaban,film del 2004 diretto da Alfonso Cuarón,Films,entity
Q1024660,Cash,2008 film by Éric Besnard,Cash - Fate il vostro gioco,film del 2008 diretto da Éric Besnard,Films,entity
Q1024664,Cash,2010 film directed by Stephen Milburn Anderson,Cash Game - Paga o muori,film del 2010 diretto da Stephen Milburn Anderson,Films,entity
Q1024694,Nightbreed,1990 film directed by Clive Barker,Cabal,film del 1990 diretto da Clive Barker,Films,entity
Q1024838,Cabin Fever,2002 film directed by Eli Roth,Cabin Fever,film del 2002 diretto da Eli Roth,Films,entity
Q1024839,Cabin in the Sky,"1943 American musical film with an all-Black cast, directed by Vincente Minnelli",Due cuori in cielo,film del 1943 diretto da Vincente Minnelli e Busby Berkeley,Films,entity
Q1024861,Cabiria,1914 film by Giovanni Pastrone,Cabiria,film del 1914 diretto da Giovanni Pastrone,Films,entity
Q1024937,Kaos,1984 film directed by Paolo Taviani and Vittorio Taviani,Kaos,film del 1984 diretto da Paolo Taviani e Vittorio Taviani,Films,entity
Q102509510,The Harder They Fall,2021 film directed by Jeymes Samuel,The Harder They Fall,film del 2021 diretto da Jeymes Samuel,Films,entity
Q1025096,Caddyshack II,1988 film directed by Allan Arkush,Due palle in buca,film del 1988 diretto da Allan Arkush,Films,entity
Q1025198,Cadillac Man,1990 film by Roger Donaldson,Cadillac Man - Mister occasionissima,film del 1990 diretto da Roger Donaldson,Films,entity
Q1025603,Café Flesh,1982 film by Stephen Sayadian,Cafè Flesh,film del 1982 diretto da Stephen Sayadian,Films,entity
Q1025973,Cairo Time,2009 film by Ruba Nadda,Cairo Time,film del 2009 diretto da Ruba Nadda,Films,entity
Q10260389,Copacabana Fools Me,1968 film by Antonio Carlos da Fontoura,Copacabana Me Engana,film del 1968 diretto da Antonio Carlos da Fontoura,Films,entity
Q1026346,Meet Me at the Fair,1953 film by Douglas Sirk,Incontriamoci alla fiera,film del 1953 diretto da Douglas Sirk,Films,entity
Q1026370,Yankee Buccaneer,1952 American film by Frederick de Cordova,Il pirata yankee,film del 1952 diretto da Frederick De Cordova,Films,entity
Q1026372,"Taza, Son of Cochise",1954 film by Douglas Sirk,Il figlio di Kociss,film del 1954 diretto da Douglas Sirk,Films,entity
Q10263747,Daisy Diamond,2007 film by Simon Staho,Daisy Diamond,film del 2007 diretto da Simon Staho,Films,entity
Q10263872,Dancing Sweeties,1930 film by Ray Enright,Dancing Sweeties,film del 1930 diretto da Ray Enright,Films,entity
Q1026449,Son of Ali Baba,1952 film by Kurt Neumann,Il figlio di Alì Babà,film del 1952 diretto da Kurt Neumann,Films,entity
Q1026470,Beverly Hills Chihuahua 3: Viva la Fiesta!,2012 film directed by Lev L. Spiro,Beverly Hills Chihuahua 3: Viva La Fiesta!,film del 2012 diretto da Lev L. Spiro,Films,entity
Q1026484,The Cimarron Kid,1952 film by Budd Boetticher,L'ultimo fuorilegge,film del 1952 diretto da Budd Boetticher,Films,entity
Q10265539,Desenrola,2011 film by Rosane Svartman,Desenrola,film del 2011 diretto da Rosane Svartman,Films,entity
Q10265552,Desert Passage,1952 film by Lesley Selander,Desert Passage,film del 1952 diretto da Lesley Selander,Films,entity
Q1026615,The Battle at Apache Pass,1952 film by George Sherman,"Kociss, l'eroe indiano",film del 1952 diretto da George Sherman,Films,entity
Q10266301,Lights of Old Santa Fe,1944 film by Frank McDonald,Lights of Old Santa Fe,film del 1944,Films,entity
Q1026647,The Baytown Outlaws,2012 film by Barry Battles,The Baytown Outlaws,film del 2012 diretto da Barry Battles,Films,entity
Q1026650,Red Ball Express,1952 World War II film directed by Budd Boetticher,L'autocolonna rossa,film del 1952 diretto da Budd Boetticher,Films,entity
