item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q1093614,The Billionaire of Dismal Downs,chapter 9 of The Life and Times of Scrooge McDuck,Il miliardario di Colle Fosco,"capitolo della ""Saga di Paperon de' Paperoni"" di Don Rosa"
http://www.wikidata.org/entity/Q123941891,Corrector Yui,Japanese manga series by Keiko Okamoto,Corrector Yui,manga di Keiko Okamoto
http://www.wikidata.org/entity/Q3064605,Otomedius,2007 video game,Otomedius,videogioco del 2007
http://www.wikidata.org/entity/Q18745523,Indian Summer,graphic novel by Hugo Pratt and Milo Manara,Tutto ricominciò con un'estate indiana,fumetto di Hugo Pratt e Milo Manara
http://www.wikidata.org/entity/Q115754546,Cardfight!! Vanguard,Japanese manga series,Cardfight!! Vanguard,serie manga
http://www.wikidata.org/entity/Q111873662,Koi ni Mudaguchi,Japanese manga series,36000 secondi al giorno,manga scritto e disegnato da Ryoko Fukuyama
http://www.wikidata.org/entity/Q117192075,Alya Sometimes Hides Her Feelings in Russian,Japanese manga series,Alya Sometimes Hides Her Feelings in Russian,serie manga giapponese
http://www.wikidata.org/entity/Q113329707,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,Japanese manga series,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,serie di manga
http://www.wikidata.org/entity/Q110867748,Kyō Kara Ore Wa!!,manga series,Due come noi!!,serie di manga
http://www.wikidata.org/entity/Q116247590,Bladedance of Elementalers,Japanese manga series,Bladedance of Elementalers,serie manga
http://www.wikidata.org/entity/Q1281012,Hell and Back,comic book album,All'inferno e ritorno,miniserie a fumetti
http://www.wikidata.org/entity/Q111234587,My Life as Inukai-san's Dog,Japanese manga series,"La mia padroncina Inukai - Una volta diventato un cane, sono stato adottato dalla persona di cui sono innamorato",manga scritto e disegnato da Itsutuse
http://www.wikidata.org/entity/Q111981527,Nejikemono,Japanese manga series by Takeichi Abaraya,Nejikemono,serie di manga
http://www.wikidata.org/entity/Q123941892,Corrector Yui Version 2,Japanese manga series,Corrector Yui Version 2,manga di Keiko Okamoto
http://www.wikidata.org/entity/Q837304,Cigars of the Pharaoh,fourth volume of The Adventures of Tintin,I Sigari del Faraone,Albo della serie a fumetti Le avventure di Tintin
http://www.wikidata.org/entity/Q122713274,Kagurabachi,Japanese manga series,Kagurabachi,manga scritto e disegnato da Takeru Hokazono
http://www.wikidata.org/entity/Q115649165,Psychic Detective Yakumo,Japanese manga series,Psychic Detective Yakumo - L'investigatore dell'occulto,serie manga
http://www.wikidata.org/entity/Q3210403,Corto Maltese: The Golden House of Samarkand,graphic novel with Corto Maltese,La casa dorata di Samarcanda,albo della serie a fumetti Corto Maltese
http://www.wikidata.org/entity/Q120671241,Sword Art Online Alternative Gun Gale Online,Japanese manga series,Sword Art Online Alternative: Gun Gale Online,manga scritto da Keiichi Sigsawa e disegnato da Tadadi Tamori
http://www.wikidata.org/entity/Q124473156,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,Japanese manga series,Tsūjou kōgeki ga zentai kōgeki de ni kai kōgeki no okā-san wa suki desuka?,manga
http://www.wikidata.org/entity/Q120336492,Kindergarten Wars,Japanese manga series,Kindergarten Wars,manga di Yu Chiba
http://www.wikidata.org/entity/Q949863,The Shooting Star,tenth volume of The Adventures of Tintin,La stella misteriosa,albo della serie a fumetti Le avventure di Tintin
http://www.wikidata.org/entity/Q116032520,The Vexations of a Shut-In Vampire Princess,Japanese manga series,I tormenti della vampira reclusa,serie manga
http://www.wikidata.org/entity/Q110644790,Gods' Games We Play,Japanese manga series,Gods' Games We Play,serie di manga
http://www.wikidata.org/entity/Q123746526,You Are Ms. Servant,Japanese manga series,You are Ms. Servant,manga di Shotan
http://www.wikidata.org/entity/Q124356871,Wistoria: Wand and Sword,Japanese manga series,Wistoria: Wand and Sword,manga scritto da Fujino Ōmori e disegnato da Toshi Aoi
http://www.wikidata.org/entity/Q11326305,Hakumei and Mikochi,Japanese manga series,Hakumei to Mikochi,serie manga
http://www.wikidata.org/entity/Q112114773,Marriagetoxin,Japanese manga series,Marriagetoxin,manga scritto da Joumyaku e disegnato da Mizuki Yoda
http://www.wikidata.org/entity/Q1138084,Prisoners of the Sun,fourteenth volume of The Adventures of Tintin,Il tempio del sole,albo della serie a fumetti Le avventure di Tintin
http://www.wikidata.org/entity/Q11325725,Nobunagun,Japanese manga series,Nobunagun,serie di manga
