item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q128570,bioinformatics,"computational analysis of large, complex sets of biological data",bioinformatica,"branca della biologia che si occupa di raccogliere, archiviare ed analizzare mediante banche dati informazioni biologiche"
http://www.wikidata.org/entity/Q899719,bryology,branch of botany concerned with the scientific study of bryophytes,briologia,branca botanica che studia le briofite
http://www.wikidata.org/entity/Q1130698,hydrobiology,science of life and life processes in water,idrobiologia,scienza della vita e dei processi vitali nell'acqua
http://www.wikidata.org/entity/Q521,physiology,science regarding function of organisms or living systems,fisiologia,branca della biologia che studia il funzionamento degli organismi viventi
http://www.wikidata.org/entity/Q599991,zoogeography,branch of the science of biogeography that is concerned with the geographic distribution (present and past) of animal species,zoogeografia,scienza che studia la distribuzione geografica delle specie animali
http://www.wikidata.org/entity/Q7094,biochemistry,study of chemical processes in living organisms,biochimica,"branca della biologia che studia i bioelementi, le biomolecole e il metabolismo cellulare"
http://www.wikidata.org/entity/Q1458822,cultural ecology,study of human adaptation to social and physical environments,ecologia culturale,disciplina accademica
http://www.wikidata.org/entity/Q1562684,satiety,opposite of hunger,sazietà,contrario di fame
http://www.wikidata.org/entity/Q7201518,plant genetics,"study of genes, heredity in plants",genetica vegetale,insieme degli studi genetici sulle piante
http://www.wikidata.org/entity/Q4420546,synecology,study of biological communities,sinecologia,scienza che studia i rapporti tra le comunità biologiche e tra gli ecosistemi della Terra.
http://www.wikidata.org/entity/Q162606,endocrinology,medical specialty; branch of science concerned with the study of hormones,endocrinologia,specializzazione medica
http://www.wikidata.org/entity/Q52106,biogeography,study of the distribution of species and ecosystems in geographic space and through geological time,biogeografia,branca della biologia che studia la distribuzione geografica degli organismi viventi
http://www.wikidata.org/entity/Q1537534,vaginoplasty,any surgical procedure that results in the construction or reconstruction of the vagina,vaginoplastica,qualsiasi procedura chirurgica che comporta la costruzione o ricostruzione della vagina
http://www.wikidata.org/entity/Q2487696,biochemical engineering,Manufacturing by chemical reactions of biological organisms,ingegneria biochimica,branca dell'ingegneria chimica
http://www.wikidata.org/entity/Q4021,plant anatomy,study of the internal structure of plants,anatomia vegetale,studio della struttura interna delle piante
http://www.wikidata.org/entity/Q158666,omics,suffix indicating study of all objects of a type (e.g. all genes in a genome),-omica,suffisso usato in biologia molecolare
http://www.wikidata.org/entity/Q111593131,vulvoplasty,any surgical procedure that results in the construction or reconstruction of the vulva,vulvoplastica,qualsiasi procedura chirurgica che comporta la costruzione o ricostruzione della vulva
http://www.wikidata.org/entity/Q506874,chronobiology,field of biology that examines periodic (cyclic) phenomena in living organisms,cronobiologia,branca della biologia che studia i fenomeni ciclici negli organismi viventi e il loro adattamento ai ritmi solari e lunari
