item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q791347,Arkham Asylum: A Serious House on Serious Earth,1989 Batman graphic novel written by Grant Morrison and illustrated by Dave McKean,Arkham Asylum: Una folle dimora in un folle mondo,graphic novel della Dc Comics
http://www.wikidata.org/entity/Q101435415,La dernièr expèdition au Mont Everest,book,La dernièr expèdition au Mont Everest,libro
http://www.wikidata.org/entity/Q15377916,Dogecoin,open source peer-to-peer digital currency,Dogecoin,criptovaluta
http://www.wikidata.org/entity/Q55877691,Partial Differential Equations of Elliptic Type (Carlo Miranda),book by Carlo Miranda,Equazioni alle derivate parziali di tipo ellittico (Carlo Miranda),libro di Carlo Miranda
http://www.wikidata.org/entity/Q77585460,Berkeley Physics Course. Mechanics,"academic textbook about mechanics, published as first volume of the Berkeley Physics Course series",La Fisica di Berkeley-Meccanica,"manuale di testo universitario sulla meccanica, pubblicato come primo volume della Fisica di Berkeley"
http://www.wikidata.org/entity/Q714451,Densha Otoko,Japanese media franchise,Train Man,romanzo di Nakano Hitori del 2004
http://www.wikidata.org/entity/Q101438917,Le chateau de Diane de Poitiers à Anet,book,Le chateau de Diane de Poitiers à Anet,libro
http://www.wikidata.org/entity/Q645531,Habibi,graphic novel by Craig Thompson,Habibi,graphic novel di Craig Thompson
http://www.wikidata.org/entity/Q16578998,Missale fratrum minorum,"manuscript in the Pinacoteca comunale, Deruta, Italy",Missale fratum minorum,"manoscritto conservato nella Pinacoteca comunale di Deruta, opera del Maestro dei messali Deruta-Salerno della fine del XIII secolo, dalla chiesa di S. Francesco"
http://www.wikidata.org/entity/Q101439165,Le diamant de la reine,book,Le diamant de la reine,libro
http://www.wikidata.org/entity/Q7544610,Smile,graphic novel written by Raina Telgemeier,Smile (romanzo),romanzo a fumetti del 2010 scritto da Raina Talgemeier
http://www.wikidata.org/entity/Q101439189,Le Château de Rambouillet,book,Le Château de Rambouillet,libro
http://www.wikidata.org/entity/Q682339,The Feynman Lectures on Physics,"three volumes physics textbook by Richard Feynman, Robert B. Leighton, and Matthew Sands",La fisica di Feynman,"manuale di fisica in tre volumi, di Richard Feynman, Robert B. Leighton , eMatthew Sands"
http://www.wikidata.org/entity/Q309450,Jiraiya Gōketsu Monogatari,novel by Mizugaki Egao,Jiraiya Goketsu Monogatari,romanzo di Mizugaki Egao
http://www.wikidata.org/entity/Q27906726,Linguistic Atlas of Dolomite Ladin and neighboring dialects,collection of linguistic maps intended to document the speeches of the north-eastern part of Northern Italy and south-eastern Switzerland,Atlante linguistico del ladino dolomitico,didattica della lingua ladina
http://www.wikidata.org/entity/Q81188,Be Love,magazine,Be Love,rivista giapponese
http://www.wikidata.org/entity/Q240358,Batman: The Killing Joke,1988 graphic novel by Alan Moore,Batman: The Killing Joke,graphic novel
